"No","Nama_Produk","Ukuran_ml","Harga_dollar","Ulasan","Rating"
"11","COSRX AHA/BHA Treatment Toner","150","18.60","First time buyer of this line. I made the mistake of using this everyday. My face got dry so definitely avoid that. However the over all pour size on my face and evening out the tone, my face feeling hydrated and glowing is all green flags from this exfoliating spray thing. Once I brought the usage down to two may three days a week the results seemed more balanced then over drying my skin. My face using this and other creams etc, is definitely fuller brighter and less break outs.","4"
"12","COSRX AHA/BHA Treatment Toner","150","18.60","After buying the mucin and being very happy with the results I decided to change my whole skincare regimen. I do like this but on the same hand I’ve never been someone to use toner. It has no scent like all the other Cosrx products and you get a lot for your money.","3"
"13","COSRX AHA/BHA Treatment Toner","150","18.60","It's good chemical exfoliant for the very begginner... Which I was, but after a month of using it, you'll kinda need a bit more percentage of BHA or AHA to do something to your face, at least that you can notice. Not saying your skin gets used to it cuz that's not how it works, but it's very little percentage of them both so you'll have room to go higher little by little","4"
"14","COSRX AHA/BHA Treatment Toner","150","18.60","I really wanted this product to work out as a chemical exfoliant, however, it actually irritated my already sensitive skin Rosacea skin. Even with the low percentage of AHA and BHA, it was a no go for me so I had to return.","3"
"15","COSRX AHA/BHA Treatment Toner","150","18.60","Came open with product missing from bottle","1"
"16","COSRX AHA/BHA Treatment Toner","150","18.60","Love this toner, have repurchased multiple times. The only reason this review is 4 stars and not 5 is that the spritzer pump always gives out 7/8 of the way through the bottle","4"
"17","COSRX AHA/BHA Treatment Toner","150","18.60","I’m not sure it does anything. It might be a little strong for my skin. I broke out with it and my skin often feels itchy and dry and rough even after moisturizing","3"
"18","COSRX AHA/BHA Treatment Toner","150","18.60","I received the product opened with the ripped seal","1"
"19","COSRX AHA/BHA Treatment Toner","150","18.60","To me this was like using water.It did nothing for my face","2"
"20","COSRX AHA/BHA Treatment Toner","150","18.60","It does a good job with toning but I had severe break out after using it and I didnt realize it until my friend who is a esthetician told me that it was because of my toner.","2"
"21","COSRX AHA/BHA Treatment Toner","150","18.60","Not sure if I super love it. I have sensitive skin so I was worried about any bumps or breakouts. So far my face seems ok. Not sure if I glow or anything wow.","3"
"22","COSRX AHA/BHA Treatment Toner","150","18.60","It didn't do much. Smelled funny and it didn't come properly sealed. Had to return it.","2"
"23","COSRX AHA/BHA Treatment Toner","150","18.60","I feel like this is an OK toner but for some reason it broke me out and I couldn't figure out what it was until I switched toners.","3"
"24","COSRX AHA/BHA Treatment Toner","150","18.60","This toner is good enough. I might repurchase for my teenage daughter. It's very light and subtle. Definitely doesn't strip your skin of oils, slightly hydrating in fact.","3"
"25","COSRX AHA/BHA Treatment Toner","150","18.60","Item came damaged. The box and cap were both open and the toner leaked all over.","3"
"26","COSRX AHA/BHA Treatment Toner","150","18.60","Not sure if I super love it. I have sensitive skin so I was worried about any bumps or breakouts. So far my face seems ok. Not sure if I glow or anything wow.","3"
"27","COSRX AHA/BHA Treatment Toner","150","18.60","Use daily, can’t tell if it works as well as it’s been advertised by the ads. But I thought I’ll give it a try. Probably will not purchase again.","3"
"28","COSRX AHA/BHA Treatment Toner","150","18.60","I decided to give this another try and can slowly see it working. I think I gave up and became too impatient when I first tried it. My skin seems to respond better when both BHA & AHA are combine. This toner doesn’t strip my skin like the witch hazel brand toner. I’d recommend this.","4"
"29","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I understand why this product receives 5 star reviews. I am in my 60's & use it every day. I have said goodbye to a dull complexion & blackheads on my nose. It not too harsh for my sensitive skin. It truly is a winner.","5"
"30","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","insane. i’ve had blackheads on my nose for YEARS that would never go away, no matter what i did. i used this stuff 2 TIMES and my blackheads are so much smaller!! hasn’t helped my redness yet, but i’m hopeful. if you’re doubtful get the little one like i did. this stuff is amazing!!!","5"
"31","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I’ll update my review when I actually use it but it came ahead of time. It’s just really small. I honestly thought it would’ve been a bit bigger. But I guess as a trial run it’s not too bad if I like it and it works for me then I’ll get the bigger one!","4"
"32","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I only used this once and seen a difference. I’m trying the travel size rn but I think Ima get the real deal once I finish this one. And it doesn’t dry out your skin at all! Great for oily skin type like mine","4"
"33","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","It made my skin very dry and didn't see any difference on my skin and I've used it daily for weeks. I'm glad I didn't purchase a bigger bottle.","1"
"34","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","This product works wonders when used correctly and consistently! I put a small amount in my hands and pat it on my face and then wait about 15 mins before putting my moisturizer on and I do this about every other day. I noticed a difference when done consistently but when I would only remember to use it once a week I wouldn’t see any difference. It also makes your face feel greasy but I got used to it! Make sure to use a good moisturizer with it as it will dry out your skin! Definitely try if you have textured skin!","4"
"35","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","The bottle on this is so thick and rigid that it’s hard to press to calibrate the amount you want to use. I end up wasting a lot of it. Won’t use again.","3"
"36","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","Beware! What I received was not the real stuff. The bottle and consistency are different.","1"
"37","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I have been using this product for years. Makes pores look smaller and clears up majority of blackheads. Just pat it into your skin!","5"
"38","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I’ve used this product for a couple of years, have purchased from PC website and amazon, and have never noticed any smell until this purchase. This one smells different than my previous bottles. Haven’t noticed any reaction - although I only use it twice a week- but think it’s a bit odd.","4"
"39","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","If you're not familiar with Paula's Choice products, do yourself a favor and check out the website. Paula Begoun made a name for herself investigating beauty & skin care products, first with books and then with the website beautypedia (now sadly defunct). She looks at what is actually in products and whether those ingredients, in amounts given, have been shown through studies to be effective. Her work clued me in that it's not about price and glamour, it's about effectiveness. This BHA liquid is one of her best sellers. (I purchase PC products on Amazon only when I have a gift card.) I use BHA weekly on body and biweekly on face. If you struggle with breakouts, it can be used every day. It's a great exfoliant.","5"
"40","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","Thin liquid non foaming chemical exfoliant. It works but hard to get used to using.","2"
"41","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I recieved a sample at sephora an loved it. This 1 had a weird smell to it. Not sure why.. it came sealed though an wasnt expired so don't know why it smells and the sephora 1 didnt","3"
"42","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I heard really good things about this brand, which is why I was extremely disappointed seeing that my item arrived broken. It had leaked all all over the bottle and a good amount is missing.","3"
"43","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","First time bought was great, second time it smelled completely different (like sulfur?) and doesn’t work :(","1"
"44","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I used to often have break-outs on the lower part of my face. Miraculously I seem to have less of these after using this Paula’s Choice. It also helped shrink the pores and fine lines on my face! I am not as conscious of my face now that the wrinkles and blackheads are not as apparent now","5"
"45","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","Only reason I give this product a low score is because this is NOT a good product for acne or acne prone skin. Do not buy if you have problematic skin such as myself.","2"
"46","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I got this to help with my whiteheads (not the pus pimples but the ones that look like raised bumpy skin) and after a week of using it I could already see a noticeable change. It helped get rid of the smaller pimples and helped reduce the size of the bigger ones. Overall it worked pretty well, would recommend!","4"
"47","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","Well I have to travel 25 min away to return a half empty bottle that was delivered to me damaged??? ZERO STARS","1"
"48","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","OMG this stuff is great! When I tell you everyone asks me what use on my skin. It’s perfect right the shower, morning and night, just put a little on a cotton pad and wipe over your face, sometimes you’ll see all the extra dirt it removes. It’s lightweight, and can replace any witch hazel or toner you’re currently using and it makes your skin GLOW. Also, for the price it last a while even while using it twice a day, I’m about to purchase my second bottle now.","5"
"49","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I have not given this product time to see results. Not sure if I can use this due to the horrible odor of the product. The expiration date is 2026, but oh my gosh, it smells rotten!!!","2"
"50","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I have been using the product for 14 days already but I haven’t seen astounding improvement. Maybe after a month I’m going to experience some improvements on my skin’s texture. As of the moment, after regular use for 2 weeks (2x a day application) pores are still very visible, dark spots are not removed nor they lightened up, and skin texture is pretty much the same as day one.","4"
"51","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","Smells just like latex paint and smells very strongly. Huge turnoff for this product. Used for about 2 weeks and saw no noticeable difference but definitely couldn’t stand the smell.","1"
"52","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I have spent THOUSANDS, and I mean TENS OF THOUSANDS of dollars looking for a skin care product like this one. Just BUY IT. I noticed an immediate change. I was a little worried about it irritating my skin bc I have super sensitive skin, but it has been nothing short of a miracle for my skin. Zero sensitivity reactions, nothing but positive results. No more hormonal break outs, no more dry/flaky skin, no more uneven tone, no more rough texture. 10/10","5"
"53","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I tried this one after the gentler exfoliating gels didn't seem to do anything, and my skin turned very red. I guess it may work, but I can't use it until my skin gets more used to the gentler ones, I guess.","3"
"54","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","Be sure to look at the ounces on the bottle or you’ll be very surprised and disappointed when you get this. With that being said, I’ve only had it for two days so I’ll come back after I’ve used it more","3"
"55","Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant","118","35.00","I didn't see a very noticeable difference using this even after a month of use. That being said, it is good on sensitive skin and feels nice on your skin.","3"
"56","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","I bought this as a last ditch effort to keep up with natural deodorant. For years I've tried every big brand with zero luck. Even right out of the shower, after scrubbing with soap, I still feel like my body odor is there. I read somewhere that glycolic acid toner could help, so I figured I'd give this a try. I had this overnighted, tried it this morning by applying right after the shower, used my natural deodorant, and no kidding 12 hours later I smell fresh!! I had a really active day running around outdoors and am ending my day feeling and smelling clean. It's incredible. If you're suffering from body odor try this.","5"
"57","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","ve been using this toner at least once a day after washing my face & it has done nothing but make my face break out on each side. I have acne scars from it now. It smells great but that's about it.","2"
"58","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","I really like Thayer products. I am a daily user of the rose alcohol, free toner, and when I saw that this had some extra skin care attributes, I bought it right away. It is gentle, but effective. It moisturizers, and a good base preparation for other type of topical moisturizers. I believe it is good on fine lines.","5"
"59","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","Gentle n nice","3"
"60","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","A friend told me she always uses toner and it's good for your skin so I got this to try. I don't know, I haven't really noticed a difference with this product, but it also didn't do anything bad to my skin either. It smells ok and feels ok. I'll keep using it and see if it just needs more time.","3"
"61","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","Thayer’s 2% AHA toner is high quality. Fragrance free and is easy to use by squeezing a little onto a cotton ball. Contains effective ingredients such as glycolic and lactic acids with witch hazel. 12 oz bottle.","3"
"62","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","Whenever I use this toner it burn my face up .however it's a good toner just doesn't work for me.","2"
"63","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","If this was the original witch hazel I'd rate it 5 stars because I really love the original and how it feels/works. So if you're looking for a great, refreshing, pore toner then this brand in general is great. The issue here for me is that it is advertised as being a glycolic acid product, which I have used before, and was expecting to have similar results with this product. Let's just say the amount in here must be little to basically none because it hasn't given any results even slightly exfoliating or brightening or whatever. It feels and acts exactly like the regular witch hazel formula. I feel like it's false advertising and if I would have known that I wouldn't have ordered it. I would have ordered a glycolic acid product that actually works, and a bottle of the regular witch hazel separately. Pretty irritating, really. The scent is nice at least. So if you're looking for some actual results, I wouldn't recommend this product.","3"
"64","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","This product is so ""filtered"" (meaning watered down) it has no cleaning power at all. You're better off just washing your face with plain water.","1"
"65","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","Not sure why this says hydrating on the bottle. It has witch hazel which is an astringent. I would say this felt like a watered down version of a typical bottle of witch hazel. Good as a refreshing splash and dirt removal but I did not feel any hydration effect. It wasnt bad but would not buy again as I like a bit of a hydration feeling with my toners.","2"
"66","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","The toner didn't have any noticeable scent. It had a open top spout which allows you to use a a cotton pad/round. Personally, I like my toners in spray bottles so I can spray it while I am working to refresh my face. The toner is refreshing and feels nice during a hot summer day when I leave the bottle in the fridge.","4"
"67","Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","355","14.99","This purchase is for a pack of two. But when the package arrived, only one bottle was in it. It looks like the other bottle was ripped out","1"
"68","Glycolic Acid 7% Toner, Glycolic Sour 7% Toning Resurfacing Solution for Blemishes and Acne, Facial Exfoliation Astringe Pores","100","8.99","i like it, still in review for myself but i haven’t used it enough to see results, my own fault.","3"
"69","Glycolic Acid 7% Toner, Glycolic Sour 7% Toning Resurfacing Solution for Blemishes and Acne, Facial Exfoliation Astringe Pores","100","8.99","Does not burn the face, very pleasant smell. I use it twice a week and very happy with the results on my face. My face became smoother that is for sure. I love the fact that the product doesn't dry my skin. 100% recommend.","5"
"70","Glycolic Acid 7% Toner, Glycolic Sour 7% Toning Resurfacing Solution for Blemishes and Acne, Facial Exfoliation Astringe Pores","100","8.99","Not sure it's working for me although I just started using it let's see what will happen","3"
"71","Glycolic Acid 7% Toner, Glycolic Sour 7% Toning Resurfacing Solution for Blemishes and Acne, Facial Exfoliation Astringe Pores","100","8.99","The combination of acids and witch hazel is no joke! This definitely pulls out every and any last spec of hidden dirt, debris and oil from the skin as an amazing toner, and the acids go to work helpful to shed the dead layer of skin. Super exfoliating. I love that it’s has no artificial fragrance, as perfume and toner are NOT a skin friendly mix. My skin wants to freak out just thinking about perfume on my freshly and seriously and chemically exfoliated skin.","5"
"72","Glycolic Acid 7% Toner, Glycolic Sour 7% Toning Resurfacing Solution for Blemishes and Acne, Facial Exfoliation Astringe Pores","100","8.99","I haven’t used this product yet but for the fact that it was delivered with amount of fluids and not filled up to the top. Umm yea.","2"
"73","Glycolic Acid 7% Toner, Glycolic Sour 7% Toning Resurfacing Solution for Blemishes and Acne, Facial Exfoliation Astringe Pores","100","8.99","it doesn't work don't waste your money on it . instead just spend the extra few bucks on the ordinary one","2"
"74","Glycolic Acid 7% Toner, Glycolic Sour 7% Toning Resurfacing Solution for Blemishes and Acne, Facial Exfoliation Astringe Pores","100","8.99","I thought it was ordinary glycolic acid and bought it. I should have checked the brand before buying it. Definitely returning it.","2"
"75","Glycolic Acid 7% Toner, Glycolic Sour 7% Toning Resurfacing Solution for Blemishes and Acne, Facial Exfoliation Astringe Pores","100","8.99","Buyers please be more attentive than me and notice that this is NOT the ordinary brand!!!! It’s awful that when you search for The Ordinary this product shows up in search results. And if you have poor eyesight it’s hard to see that this isn’t the right brand because of the packaging.","1"
"76","Glycolic Acid 7% Toner, Glycolic Sour 7% Toning Resurfacing Solution for Blemishes and Acne, Facial Exfoliation Astringe Pores","100","8.99","i ordered this yesterday for it to show up and feel like im putting sweet and sour sauce on my skin. it smells like nothing but looks and feels nothing like the ordinary toner. waste of money and my time.","1"
"77","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I am not sure of any other change except 2 white bumps I had on my face. They wouldn't pop and were slowing getting bigger. This product is getting them away. I added a before and after for one of the bumps.","3"
"78","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","This makes my skin feel and look great. It is not drying at all. Love it and is worth the price.","4"
"79","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I have used this toner for a few months now and it has no noticeable benefits. It feels sticky on face when dry. The salicylic acid concentration is too low to do anything or feel like a better toner would. Don’t bother.","1"
"80","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I don't see or feel any difference after using this for months. Perhaps not worth the price. The smell isn't all that bad. It didn't aggravate my skin either. In fact, I feel like it does nothing...","3"
"81","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I don’t know but I did get more spots the more I used it. However my girlfriend, from a white Lithuanian background seemed to have improved her skin. So it works but just not for me.","3"
"82","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I've not used it very long but it doesn't sting unless I accidently put it on where I've just threaded or have broken skin. Not sure if its doing the job like my pixi toner was but I'll try this as I heard great things about it.. Will know in a couple more weeks.","3"
"83","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","When I would use this my face would literally sting. I went to the gym and worked out and it somehow like reactivated or something and it felt like my face was burning off and it was as bright as a tomato. I had to run to the locker room to wash my face.","1"
"84","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","This product is working great so far, BUT it’s advertised as alcohol-free and the bottle I received is not??? It includes benzyl alcohol. The list of ingredients on my bottle are completely different than the pictures shown. I kinda want to stop using it now that I read the ingredients...","3"
"85","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I have sensitive, eczema prone, combination skin.I bought this toner after hearing great reviews about it from various beauty gurus on Youtube. Unfortunately, this toner did nothing for my skin. I tried it every day for a month and saw zero results. I returned the product.","2"
"86","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","This glycolic acid toner is great for occasional use but recommend against daily use. I was using daily and it was irritating to my skin, so now I just use it every third day and it has made my skin clear and tighter","3"
"87","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I'm giving 2 stars bc the shipping was fast. I can't speak for the product itself. I will be returning. There was no tamper proof seal on the bottle and half of the solution leaked out into the bag it was delivered in. I could've gotten blue kool-aid for all I know.","2"
"88","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I love this product so much, I now have my mom and daughter using it with great results","4"
"89","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I don’t have super sensitive skin but it made my face breakout. Also, the smell is terrible I had to stop using it. Went back to my old stuff","3"
"90","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I normally use The Ordinary Glycolic Acid to help with my underarms. When using that product, I never had any issues. This one however, doesn't seem to have the same effect. It seems very watered down and also there is a lot of fragrance in it for a leave on treatment (so be careful if using this on the face/sensitive skin).","3"
"91","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","The website doesn't list the ingredients. It has parabens, fragrance and dyes - all of which I try to avoid. It smells like baby powder. It had no seal or wrap on it which is suspicious. I am returning it.","1"
"92","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","Its ok. Stinks a bit..donot think.its doimg wel. But using it bcuzi.bought it.wont prolly buy ahain. Good price though","2"
"93","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","Great product, but contains known carcinogenics that aren’t worth the risk. I recommend switching to the version offered by The Ordinary to get the same great results without the side of cancer. Especially for those buying this for their children.","2"
"94","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","It caused my face to break out in a way it never has before. I stopped using it, and it was 3 weeks before my skin got back to normal. Gave it to my friend, who gave it to her 13 year old. His skin looks great. So maybe for the teens and not for those with acne and wrinkles.","1"
"95","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","This very well could be bottled colored water for all I can tell. I will say that I appreciate that they made me look for something else. I wouldn't recommend this.","2"
"96","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","Great toner for once a day use for someone with dry/sensitive skin looking for non drying solution. Great scent, too.","4"
"97","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I received it in a plastic bag with no protective seal on it. So, clearly it had been opened/used. I returned it.","1"
"98","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","Smells very fragrant for something supposedly unscented. I had an allergic reaction I believe to Limonene.","1"
"99","Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, Alcohol-Free Facial Toner for Aging Skin, Formulated with Exfoliating Glycolic Acid & Antioxidant Grapefruit Extract","236","18.00","I didn’t even questioned why the product was in a ziplock bag... well turns out they had knowingly sent me a damaged product . I just realized today that the bottle had a hole when I saw a good 2 ounces of toner leaked on my sink ,fortunately I still had an empty bottle of toner and emptied out the toner into it .","1"
"100","Natural Outcome Glycolic Acid Toner 5% for Face | Gentle Exfoliating Toner - with Aloe Vera & Quinoa Extract | Advance Anti-Aging Toning Solution Rejuvenates Skin & Minimizes Pore Appearance","236","12.90","Great item - and I love that it’s made in the USA.","3"
"101","Natural Outcome Glycolic Acid Toner 5% for Face | Gentle Exfoliating Toner - with Aloe Vera & Quinoa Extract | Advance Anti-Aging Toning Solution Rejuvenates Skin & Minimizes Pore Appearance","236","12.90","The consistency of this toner is similar to astringent toners I used as a teenager. I expected this to similarly strip my skin of it's natural oils, but to my delight, this toner did not dry me out. It really does gently exfoliate my skin but thanks to the aloe, it also doesn't have dry me out. This is not like Korean toners which are a bit thicker and you can pay on. This one I apply with a cotton pad. Because it has glycolic acid, make sure you use sunscreen if you use this in the morning.","5"
